Year;Datetime;Stage;Stadium;City;Home Team Name;Home Team Goals;Away Team Goals;Away Team Name;Attendance
2002;11 Jun 2002 - 20:30 ;Group E;Shizuoka Stadium Ecopa;Shizuoka ;Cameroon;0;2;Germany;47085
2002;12 Jun 2002 - 15:30 ;Group F;Miyagi Stadium;Rifu ;Sweden;1;1;Argentina;45777
2002;12 Jun 2002 - 15:30 ;Group F;Osaka Nagai Stadium;Osaka ;Nigeria;0;0;England;44864
2002;12 Jun 2002 - 20:30 ;Group B;Jeju World Cup Stadium;Jeju ;Slovenia;1;3;Paraguay;30176
2002;12 Jun 2002 - 20:30 ;Group B;Daejeon World Cup Stadium;Daejeon ;South Africa;2;3;Spain;31024
2002;13 Jun 2002 - 15:30 ;Group C;Suwon World Cup Stadium;Suwon ;Costa Rica;2;5;Brazil;38524
2002;13 Jun 2002 - 15:30 ;Group C;Seoul World Cup Stadium;Seoul ;Turkey;3;0;China PR;43605
2002;13 Jun 2002 - 20:30 ;Group G;International Stadium Yokohama;Yokohama ;Ecuador;1;0;Croatia;65862
2002;13 Jun 2002 - 20:30 ;Group G;Oita Stadium Big Eye;Oita ;Mexico;1;1;Italy;39291
2002;14 Jun 2002 - 15:30 ;Group H;Osaka Nagai Stadium;Osaka ;Tunisia;0;2;Japan;45213
2002;14 Jun 2002 - 20:30 ;Group D;Incheon Football Stadium;Incheon ;Portugal;0;1;Korea Republic;50239
2002;14 Jun 2002 - 20:30 ;Group D;Daejeon World Cup Stadium;Daejeon ;Poland;3;1;USA;26482
2002;14 Jun 2002 - 15:30 ;Group H;Shizuoka Stadium Ecopa;Shizuoka ;Belgium;3;2;Russia;46640
2002;15 Jun 2002 - 20:30 ;Round of 16;Niigata Stadium Big Swan;Niigata ;Denmark;0;3;England;40582
2002;15 Jun 2002 - 15:30 ;Round of 16;Jeju World Cup Stadium;Jeju ;Germany;1;0;Paraguay;25176
2002;16 Jun 2002 - 20:30 ;Round of 16;Suwon World Cup Stadium;Suwon ;Spain;1;1;"rn"">Republic of Ireland";38926
2002;16 Jun 2002 - 15:30 ;Round of 16;Oita Stadium Big Eye;Oita ;Sweden;1;2;Senegal;39747
2002;17 Jun 2002 - 20:30 ;Round of 16;Kobe Wing Stadium;Kobe ;Brazil;2;0;Belgium;40440
2002;17 June 2002 - 15:30 ;Round of 16;Jeonju World Cup Stadium;Jeonju ;Mexico;0;2;USA;36380
2002;18 Jun 2002 - 15:30 ;Round of 16;Miyagi Stadium;Rifu ;Japan;0;1;Turkey;45666
2002;18 Jun 2002 - 20:30 ;Round of 16;Daejeon World Cup Stadium;Daejeon ;Korea Republic;2;1;Italy;38588
2002;21 Jun 2002 - 15:30 ;Quarter-finals;Shizuoka Stadium Ecopa;Shizuoka ;England;1;2;Brazil;47436
2002;21 Jun 2002 - 20:30 ;Quarter-finals;Munsu Football Stadium;Ulsan ;Germany;1;0;USA;37337
2002;22 Jun 2002 - 20:30 ;Quarter-finals;Osaka Nagai Stadium;Osaka ;Senegal;0;1;Turkey;44233
2002;22 Jun 2002 - 15:30 ;Quarter-finals;Gwangju World Cup Stadium;Gwangju ;Spain;0;0;Korea Republic;42114
2002;25 Jun 2002 - 20:30 ;Semi-finals;Seoul World Cup Stadium;Seoul ;Germany;1;0;Korea Republic;65256
2002;26 Jun 2002 - 20:30 ;Semi-finals;Saitama Stadium 2002;Saitama ;Brazil;1;0;Turkey;61058
2002;29 Jun 2002 - 20:00 ;Third place;Daegu World Cup Stadium;Daegu ;Korea Republic;2;3;Turkey;63483
2002;30 Jun 2002 - 20:00 ;Final;International Stadium Yokohama;Yokohama ;Germany;0;2;Brazil;69029
2006;09 Jun 2006 - 18:00 ;Group A;FIFA World Cup Stadium, Munich;Munich ;Germany;4;2;Costa Rica;66000
2006;09 Jun 2006 - 21:00 ;Group A;FIFA World Cup Stadium, Gelsenkirchen;Gelsenkirchen ;Poland;0;2;Ecuador;52000
2006;10 Jun 2006 - 15:00 ;Group B;FIFA World Cup Stadium, Frankfurt;Frankfurt/Main ;England;1;0;Paraguay;48000
2006;10 Jun 2006 - 18:00 ;Group B;FIFA World Cup Stadium, Dortmund;Dortmund ;"rn"">Trinidad and Tobago";0;0;Sweden;62959
2006;10 Jun 2006 - 21:00 ;Group C;FIFA World Cup Stadium, Hamburg;Hamburg ;Argentina;2;1;C�te d'Ivoire;49480
2006;11 Jun 2006 - 15:00 ;Group C;Zentralstadion;Leipzig ;"rn"">Serbia and Montenegro";0;1;Netherlands;43000
2006;11 Jun 2006 - 18:00 ;Group D;Franken-Stadion;Nuremberg ;Mexico;3;1;Iran;41000
2006;11 Jun 2006 - 21:00 ;Group D;FIFA World Cup Stadium, Cologne;Cologne ;Angola;0;1;Portugal;45000
2006;12 Jun 2006 - 15:00 ;Group F;Fritz-Walter-Stadion;Kaiserslautern ;Australia;3;1;Japan;46000
2006;12 Jun 2006 - 18:00 ;Group E;FIFA World Cup Stadium, Gelsenkirchen;Gelsenkirchen ;USA;0;3;Czech Republic;52000
2006;12 Jun 2006 - 21:00 ;Group E;FIFA World Cup Stadium, Hanover;Hanover ;Italy;2;0;Ghana;43000
2006;13 Jun 2006 - 15:00 ;Group G;FIFA World Cup Stadium, Frankfurt;Frankfurt/Main ;Korea Republic;2;1;Togo;48000
2006;13 Jun 2006 - 18:00 ;Group G;Gottlieb-Daimler-Stadion;Stuttgart ;France;0;0;Switzerland;52000
2006;13 Jun 2006 - 21:00 ;Group F;Olympiastadion;Berlin ;Brazil;1;0;Croatia;72000
2006;14 Jun 2006 - 15:00 ;Group H;Zentralstadion;Leipzig ;Spain;4;0;Ukraine;43000
2006;14 Jun 2006 - 18:00 ;Group H;FIFA World Cup Stadium, Munich;Munich ;Tunisia;2;2;Saudi Arabia;66000
